Fe,Co,Cr,Mo,Mn,Nb,Sn,Ni,Zr,Cu,Al,LREE,Pb,Ti,HREE,Be,Mg,C,B,P,G(Gpa)
0,5,0,0,0,0,0,5,0,10,25,55,0,0,0,0,0,0,0,0,15.5
0,0,0,0,0,0,0,12.45,0,12.45,17.5,57.6,0,0,0,0,0,0,0,0,13.9
0,20,0,0,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0,14.5
0,0,0,0,0,0,0,11,0,11,14,64,0,0,0,0,0,0,0,0,12.5
0,0,0,0,0,0,0,10,0,10,14,66,0,0,0,0,0,0,0,0,13.4
0,2,0,0,0,0,0,0,0,20,10,68,0,0,0,0,0,0,0,0,12
0,20,0,0,0,0,0,0,0,0,25,0,0,0,55,0,0,0,0,0,30
0,20,0,0,0,0,0,0,0,0,25,0,0,0,55,0,0,0,0,0,31.1
0,20,0,0,0,0,0,0,0,0,25,0,0,0,55,0,0,0,0,0,30.6
0,0,0,0,0,0,0,0,0,31,0,5.4,0,0,6.6,0,57,0,0,0,20.7
0,0,0,0,0,0,0,0,0,34,0,9,0,0,0,0,57,0,0,0,20.5
0,0,0,0,0,0,0,0,0,30.5,0,0,0,0,11,0,58.5,0,0,0,20.4
0,0,0,0,0,0,0,0,0,25,0,0,0,0,15,0,60,0,0,0,19.9
0,0,0,0,0,0,0,0,0,28,0,0,0,0,11,0,61,0,0,0,19.8
0,0,0,0,0,0,0,0,0,26,0,0,0,0,11,0,63,0,0,0,20
0,0,0,0,0,0,0,21,0,0,0,15,0,0,0,0,64,0,0,0,17.9
0,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,65,0,0,0,19.3
0,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,65,0,0,0,19.6
0,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,65,0,0,0,19.4
0,0,0,0,0,0,0,40,27.6,4,10,0,0,18.4,0,0,0,0,0,0,39.6
0,0,0,0,0,0,0,40,28.5,5,10,0,0,16.5,0,0,0,0,0,0,45.2
0,0,0,0,0,0,0,44,27.6,0,10,0,0,18.4,0,0,0,0,0,0,39.5
0,0,0,0,0,0,0,45,25,0,10,0,0,20,0,0,0,0,0,0,40.2
0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,48.1
0,0,0,0,0,35,5,60,0,0,0,0,0,0,0,0,0,0,0,0,66.3
0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,20,36.7
30,0,0,0,0,0,0,0,0,3,12,55,0,0,0,0,0,0,0,0,18.2
0,20,0,0,0,0,0,0,0,0,25,55,0,0,0,0,0,0,0,0,17.4
0,0,0,0,0,0,0,5.7,0,14.3,25,55,0,0,0,0,0,0,0,0,17.2
0,0,0,0,0,0,0,8,0,17,20,55,0,0,0,0,0,0,0,0,16.1
10,0,0,0,0,0,0,10,0,10,10,60,0,0,0,0,0,0,0,0,17.2
8,0,0,0,0,0,0,10,0,12,10,60,0,0,0,0,0,0,0,0,16.8
6,0,0,0,0,0,0,10,0,14,10,60,0,0,0,0,0,,0,0,14.3
4,0,0,0,0,0,0,10,0,16,10,60,0,0,0,0,0,0,0,0,14.1
0,0,0,0,0,0,0,8,0,17,15,60,0,0,0,0,0,0,0,0,14.2
2,0,0,0,0,0,0,10,0,18,10,60,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,0,10,0,20,10,60,0,0,0,0,0,0,0,0,13.6
18,0,0,0,0,0,0,10,0,2,10,60,0,0,0,0,0,0,0,0,18.7
15,0,0,0,0,0,0,10,0,5,10,60,0,0,0,0,0,0,0,0,17.9
20,0,0,0,0,0,0,10,0,0,10,60,0,0,0,0,0,0,0,0,19.2
0,0,0,0,0,0,0,5.3,0,14.7,0,57.5,0,0,0,0,0,0,0,22.5,33.3
0,0,0,0,0,0,0,15,0,0,0,60,0,0,0,0,0,0,0,25,33.8
0,20,0,0,0,0,0,0,0,0,24,0,0,0,56,0,0,0,0,0,32.2
0,20,0,0,0,0,0,0,0,0,25,40,0,0,15,0,0,0,0,0,21.6
0,20,0,0,0,0,0,0,0,0,24,0,0,0,56,0,0,0,0,0,24
0,20,0,0,0,0,0,0,0,0,25,0,0,0,55,0,0,0,0,0,22.8
0,0,0,0,0,0,0,3,25,12,0,0,0,40,0,20,0,0,0,0,35.5
0,0,5,0,0,0,0,0,20,0,0,0,0,45,0,30,0,0,0,0,39.2
0,0,0,0,0,0,0,0,20,0,0,0,0,45,0,35,0,0,0,0,35.7
0,20,0,0,0,0,0,0,0,0,25,0,0,0,55,0,0,0,0,0,25.8
0,20,0,0,0,0,0,0,0,0,25,0,0,0,55,0,0,0,0,0,29.4
0,10,0,0,0,0,0,10,0,0,25,0,0,0,55,0,0,0,0,0,30.4
0,20,0,0,0,0,0,0,15,0,25,0,0,0,40,0,0,0,0,0,28
0,20,0,0,0,0,0,0,0,0,25,0,0,0,55,0,0,0,0,0,27.3
0,20,0,0,0,0,0,0,0,0,25,0,0,0,55,0,0,0,0,0,25.6
0,0,0,0,0,0,0,0,25,7.5,10,0,0,30,0,27.5,0,0,0,0,43.7
0,0,0,0,0,0,0,0,30,7.5,5,0,0,30,0,27.5,0,0,0,0,39.7
0,0,0,0,0,0,0,0,33.5,15,0,0,0,24,0,27.5,0,0,0,0,36.8
0,0,0,0,0,0,0,0,33,7.5,2,0,0,30,0,27.5,0,0,0,0,36.7
0,0,0,0,0,0,0,11,34,10,0,0,0,15,2,28,0,0,0,0,41.7
0,0,0,0,0,0,0,0,35,7.5,0,0,0,30,0,27.5,0,0,0,0,34.5
0,0,0,0,0,0,0,0,35,8.25,0,0,0,30,0,26.75,0,0,0,0,31.8
12,0,0,0,0,0,0,5,36,12.5,0,0,0,14,0,20.5,0,0,0,0,34
0,0,0,0,0,0,0,11,40,11,0,0,0,15,1,21.5,0.5,0,0,0,34.7
10,0,0,0,0,0,0,0,41,12.5,0,0,0,14,0,22.5,0,0,0,0,38.7
0,0,0,0,0,0,0,10,41,12.5,0,0,0,14,0,22.5,0,0,0,0,36.5
8,0,0,0,0,0,0,2,41,12.5,0,0,0,14,0,22.5,0,0,0,0,35
5,0,0,0,0,0,0,5,41,12.5,0,0,0,14,0,22.5,0,0,0,0,36.3
2,0,0,0,0,0,0,8,41,12.5,0,0,0,14,0,22.5,0,0,0,0,36.1
0,0,0,0,0,0,0,9,41,12.5,0,0,0,14,0,22.5,0,1,0,0,39.5
0,0,0,0,0,0,0,0,44,20,0,0,0,11,0,25,0,0,0,0,35.3
0.5,0,0,0,0,0,0,10.2,44,9.3,0,0,0,11,0,25,0,0,0,0,35.7
0,0,0,0,0,0,0,8.6,45.4,10.15,0,0,0,9.6,0,26.25,0,0,0,0,37
